date,site,aspect,elev,meanT,varT,minT,maxT
2022-09-08,gp,S,upper,13.646,35.443347090909086,6.064,22.429
2022-09-08,gp,T,lower,12.929833333333333,61.6308646969697,4.519,26.879
2022-09-08,gp,T,upper,10.46425,21.3068139347826,4.623,16.427
2022-09-08,jp,N,east,10.77525,9.614854022727274,6.573,15.473
2022-09-08,jp,N,west,13.19075,31.191495477272724,6.674,21.473
2022-09-08,jp,S,east,14.69425,36.72374147727272,7.481,24.062
2022-09-08,jp,S,west,15.385666666666667,31.25021587878788,8.382,23.869
2022-09-08,jp,T,east,13.958416666666666,24.66104281060606,8.082,22.142
2022-09-08,jp,T,west,15.043416666666667,38.418816810606074,7.983,26
2022-09-08,nr,N,upper,15.918416666666667,45.769190265151515,8.68,25.902
2022-09-08,nr,S,east,19.67075,57.73278280434783,10.651,33.222
2022-09-08,nr,T,upper,15.980583333333334,35.35939571969698,9.373,26.292
2022-09-09,gp,N,lower,10.860333333333333,20.602018424242424,4.934,18.616
2022-09-09,gp,N,upper,9.378,17.427587090909086,4.415,16.618
2022-09-09,gp,S,lower,12.086916666666667,24.100580083333337,6.166,20.71
2022-09-09,gp,S,upper,12.764833333333334,29.043043787878783,6.877,22.525
2022-09-09,gp,T,lower,12.588083333333334,47.79871826515151,4.623,25.902
2022-09-09,gp,T,upper,9.283166666666666,22.94009092753623,3.788,17.95
2022-09-09,jp,N,east,9.967333333333332,6.346600424242425,6.674,14.134
2022-09-09,jp,N,west,11.929333333333332,29.177885333333336,6.268,21.187
2022-09-09,jp,S,east,12.362833333333333,30.338670333333344,6.877,22.429
2022-09-09,jp,S,west,13.531166666666667,25.739078515151515,8.282,21.76
2022-09-09,jp,T,east,12.104583333333334,16.450431719696972,7.682,19.282
2022-09-09,jp,T,west,12.550916666666666,28.06279208333333,7.381,20.424
2022-09-09,nr,N,upper,12.000083333333334,30.12887881060607,6.674,23.484
2022-09-09,nr,S,east,17.301166666666667,38.58236344927536,10.357,29.352
2022-09-09,nr,T,upper,12.941083333333333,25.830470628787882,7.983,21.76
2022-09-10,gp,N,lower,10.049666666666667,14.759797515151517,5.45,17.475
2022-09-10,gp,N,upper,7.362666666666667,11.774691333333335,3.788,13.269
2022-09-10,gp,S,lower,11.392583333333333,15.169241537878786,7.983,18.521
2022-09-10,gp,S,upper,10.455416666666666,24.327512628787872,5.244,18.426
2022-09-10,gp,T,lower,11.888,34.14708945454546,6.166,23.388
2022-09-10,gp,T,upper,6.967083333333333,14.73325921014493,3.155,14.038
2022-09-10,jp,N,east,8.720666666666666,6.627113333333335,5.552,13.558
2022-09-10,jp,N,west,9.292166666666667,28.59296106060607,3.578,18.236
2022-09-10,jp,S,east,11.059916666666666,44.65527408333333,4.311,22.525
2022-09-10,jp,S,west,12.068583333333333,32.507389901515154,5.757,21.187
2022-09-10,jp,T,east,11.26025,24.89712202272727,6.37,19.092
2022-09-10,jp,T,west,10.7855,36.15052590909091,4.623,19.758
2022-09-10,nr,N,upper,8.731,18.998697636363637,4.519,15.76
2022-09-10,nr,S,east,11.142833333333334,12.017905188405797,6.064,16.427
2022-09-10,nr,T,upper,9.218333333333334,15.451535333333332,4.623,14.804
2022-09-11,gp,N,lower,8.312166666666666,47.77381833333334,0.893,20.424
2022-09-11,gp,N,upper,7.1241666666666665,25.312738333333343,1.656,14.996
2022-09-11,gp,S,lower,10.283249999999999,50.46786202272727,2.517,22.142
2022-09-11,gp,S,upper,11.504999999999999,53.75248454545454,3.049,23.196
2022-09-11,gp,T,lower,10.717166666666667,110.66455106060607,0.563,29.652
2022-09-11,gp,T,upper,7.647333333333333,33.08605831884058,1.656,17.189
2022-09-11,jp,N,east,7.465,13.262564363636365,3.049,13.942
2022-09-11,jp,N,west,9.094000000000001,48.248628727272724,1.548,19.853
2022-09-11,jp,S,east,11.751166666666666,68.17039851515149,2.837,25.805
2022-09-11,jp,S,west,12.148916666666667,53.354157537878784,3.261,23.677
2022-09-11,jp,T,east,11.165416666666667,39.775027537878785,4.415,21.091
2022-09-11,jp,T,west,11.319166666666666,56.296705424242425,3.049,22.621
2022-09-11,nr,N,upper,NA,NA,NA,NA
2022-09-11,nr,S,east,12.233625,62.03560963586958,2.837,25.028
2022-09-11,nr,T,upper,10.068083333333334,44.07863208333333,2.837,20.043
2022-09-12,gp,N,lower,9.39275,42.997679840909086,3.472,20.996
2022-09-12,gp,N,upper,7.591833333333334,25.487960333333334,2.837,15.855
2022-09-12,gp,S,lower,11.3655,47.2856939090909,4.727,23.1
2022-09-12,gp,S,upper,12.327916666666667,48.66958771969696,4.519,23.484
2022-09-12,gp,T,lower,12.283333333333333,101.93636515151516,3.683,30.659
2022-09-12,gp,T,upper,8.366999999999999,33.12418991304348,2.837,18.236
2022-09-12,jp,N,east,7.453,11.992572363636366,3.472,12.98
2022-09-12,jp,N,west,9.002583333333334,35.81969735606061,2.517,17.95
2022-09-12,jp,S,east,12.808083333333334,75.63151117424242,3.893,27.665
2022-09-12,jp,S,west,12.795333333333334,47.1690635151515,5.141,22.429
2022-09-12,jp,T,east,11.649833333333333,46.98887887878788,4.311,22.238
2022-09-12,jp,T,west,11.94375,54.87280693181819,4.207,23.388
2022-09-12,nr,N,upper,12.228583333333333,51.285684628787884,5.037,22.238
2022-09-12,nr,S,east,14.457374999999999,54.84061946195652,5.86,26.977
2022-09-12,nr,T,upper,12.02525,41.19479093181818,5.347,22.525
2022-09-13,gp,N,lower,8.2835,26.136564636363644,1.872,17.379
2022-09-13,gp,N,upper,6.78425,26.67654075,0.343,15.76
2022-09-13,gp,S,lower,9.5215,18.395985181818183,4.207,16.713
2022-09-13,gp,S,upper,9.005583333333334,7.887675537878787,5.347,14.325
2022-09-13,gp,T,lower,9.805416666666666,43.418991719696976,2.41,23.1
2022-09-13,gp,T,upper,6.985666666666667,24.602930492753618,0.784,15.76
2022-09-13,jp,N,east,7.301916666666667,11.31102553787879,2.73,11.916
2022-09-13,jp,N,west,8.6445,31.433688818181828,1.656,16.713
2022-09-13,jp,S,east,9.772333333333334,24.56277387878788,3.788,17.094
2022-09-13,jp,S,west,10.28875,18.166877477272724,4.934,16.903
2022-09-13,jp,T,east,9.442,14.705753818181817,4.934,14.517
2022-09-13,jp,T,west,10.143166666666668,26.900137242424236,4.415,20.71
2022-09-13,nr,N,upper,9.847916666666666,16.872670265151516,4.623,16.427
2022-09-13,nr,S,east,12.321875,14.449957592391305,6.877,18.045
2022-09-13,nr,T,upper,10.77675,17.536050204545457,5.757,18.521
2022-09-14,gp,N,lower,7.227833333333334,6.118743787878788,4.623,12.304
2022-09-14,gp,N,upper,5.293583333333333,5.157640083333334,2.837,10.063
2022-09-14,gp,S,lower,8.224916666666667,5.8679420833333324,5.037,12.787
2022-09-14,gp,S,upper,6.930916666666667,4.60137171969697,4.207,11.139
2022-09-14,gp,T,lower,7.804166666666667,10.953514333333334,3.893,14.996
2022-09-14,gp,T,upper,5.078416666666667,6.5758609492753655,2.517,10.553
2022-09-14,jp,N,east,6.77725,3.1420040227272725,4.727,10.553
2022-09-14,jp,N,west,6.25675,5.70826075,3.683,11.334
2022-09-14,jp,S,east,7.665,10.506952,4.519,15.664
2022-09-14,jp,S,west,7.733583333333334,5.568644992424242,5.037,13.076
