"Plot Title: 20365583"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Good Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","Stopped (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
217,10/05/22 06:21:41 PM,8.282,,,,,,,
218,10/05/22 08:21:41 PM,6.877,,,,,,,
219,10/05/22 10:21:41 PM,4.831,,,,,,,
220,10/06/22 12:21:41 AM,2.837,,,,,,,
221,10/06/22 02:21:41 AM,1.764,,,,,,,
222,10/06/22 04:21:41 AM,0.343,,,,,,,
223,10/06/22 06:21:41 AM,-0.325,,,,,,,
224,10/06/22 08:21:41 AM,0.674,,,,,,,
225,10/06/22 10:21:41 AM,8.082,,,,,,,
226,10/06/22 12:21:41 PM,14.038,,,,,,,
227,10/06/22 02:21:41 PM,14.134,,,,,,,
228,10/06/22 04:21:41 PM,14.804,,,,,,,
229,10/06/22 06:21:41 PM,10.455,,,,,,,
230,10/06/22 08:21:41 PM,6.978,,,,,,,
231,10/06/22 10:21:41 PM,5.860,,,,,,,
232,10/07/22 12:21:41 AM,5.141,,,,,,,
233,10/07/22 02:21:41 AM,3.683,,,,,,,
234,10/07/22 04:21:41 AM,2.837,,,,,,,
235,10/07/22 06:21:41 AM,2.410,,,,,,,
236,10/07/22 08:21:41 AM,3.049,,,,,,,
237,10/07/22 10:21:41 AM,8.481,,,,,,,
238,10/07/22 12:21:41 PM,15.473,,,,,,,
239,10/07/22 02:21:41 PM,15.569,,,,,,,
240,10/07/22 04:21:41 PM,13.173,,,,,,,
241,10/07/22 06:21:41 PM,10.161,,,,,,,
242,10/07/22 08:21:41 PM,7.079,,,,,,,
243,10/07/22 10:21:41 PM,5.450,,,,,,,
244,10/08/22 12:21:41 AM,4.102,,,,,,,
245,10/08/22 02:21:41 AM,2.837,,,,,,,
246,10/08/22 04:21:41 AM,2.303,,,,,,,
247,10/08/22 06:21:41 AM,1.656,,,,,,,
248,10/08/22 08:21:41 AM,2.410,,,,,,,
249,10/08/22 10:21:41 AM,7.582,,,,,,,
250,10/08/22 12:21:41 PM,12.304,,,,,,,
251,10/08/22 02:21:41 PM,15.378,,,,,,,
252,10/08/22 04:21:41 PM,14.421,,,,,,,
253,10/08/22 06:21:41 PM,10.944,,,,,,,
254,10/08/22 08:21:41 PM,6.775,,,,,,,
255,10/08/22 10:21:41 PM,4.934,,,,,,,
256,10/09/22 12:21:41 AM,3.578,,,,,,,
257,10/09/22 02:21:41 AM,2.517,,,,,,,
258,10/09/22 04:21:41 AM,2.088,,,,,,,
259,10/09/22 06:21:41 AM,1.548,,,,,,,
260,10/09/22 08:21:41 AM,2.088,,,,,,,
261,10/09/22 10:21:41 AM,7.179,,,,,,,
262,10/09/22 12:21:41 PM,13.173,,,,,,,
263,10/09/22 02:21:41 PM,17.094,,,,,,,
264,10/09/22 04:21:41 PM,18.521,,,,,,,
265,10/09/22 06:21:41 PM,12.207,,,,,,,
