pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,2051,2024,644.6548125166255,6.468714999146014,1,6.286758872650298
NorthLower,1,2051,2025,501.3981875129309,6.2174005708651086,1,6.468714999146014
NorthLower,1,2052,2023,1047.5640703395165,6.954222814927715,1,6.750623859686476
NorthLower,1,2052,2024,950.0176184455535,6.856480530154778,1,6.954222814927715
NorthLower,1,2052,2025,995.2565526572464,6.903000545789671,1,6.856480530154778
NorthLower,1,2053,2023,1645.2128027768044,7.4056250182229055,1,7.415245616209888
NorthLower,1,2053,2024,1645.2128027768044,7.4056250182229055,1,7.4056250182229055
NorthLower,1,2053,2025,1498.9716647521998,7.312534595156893,1,7.4056250182229055
NorthLower,1,2054,2023,942.4777960769379,6.848512360505601,1,6.7178340368634855
NorthLower,1,2054,2024,1002.796375025862,6.910547751425054,1,6.848512360505601
NorthLower,1,2054,2025,720.6813547334987,6.5801970905446705,1,6.910547751425054
NorthLower,1,2055,2023,2073.4511513692637,7.636969720869872,1,7.5085335506334445
NorthLower,1,2055,2024,2289.1214870382028,7.735923392829106,1,7.636969720869872
NorthLower,1,2055,2025,2252.0506937258433,7.7195964995416775,1,7.735923392829106
NorthLower,1,2056,2023,439.822971502571,6.086372308458705,1,6.016103112612148
NorthLower,1,2056,2024,347.14598822167216,5.849745406807208,1,6.086372308458705
NorthLower,1,2056,2025,117.80972450961724,4.7690708188257656,1,5.849745406807208
NorthLower,1,2057,2023,268.6061718819273,5.593246261792115,1,5.4816937758863675
NorthLower,1,2057,2024,215.98449493429828,5.375206622396081,1,5.593246261792115
NorthLower,1,2057,2025,0,NA,0,5.375206622396081
NorthLower,1,2058,2023,163.28427817032951,5.0954927195934765,1,5.87873294368046
NorthLower,1,2058,2024,224.62387473167024,5.414427335549362,1,5.0954927195934765
NorthLower,1,2058,2025,178.83516180559897,5.186464497799204,1,5.414427335549362
NorthLower,1,2059,2023,387.9866927183395,5.960971041917432,1,5.66651846289844
NorthLower,1,2059,2024,423.0547207140355,6.047501534069711,1,5.960971041917432
NorthLower,1,2059,2025,267.1924551878119,5.587969204691271,1,6.047501534069711
NorthLower,1,2060,2023,170.824100538945,5.140634375258248,1,5.511008163555142
NorthLower,1,2060,2024,188.49555921538757,5.2390744480715,1,5.140634375258248
NorthLower,1,2060,2025,72.25663103256524,4.28022410177855,1,5.2390744480715
NorthLower,1,2061,2023,43.982297150257104,3.783787215464659,1,3.650255822840136
NorthLower,1,2061,2024,19.634954084936208,2.97731134959771,1,3.783787215464659
NorthLower,1,2061,2025,0,NA,0,2.97731134959771
NorthLower,1,2062,2023,49.480084294039244,3.901570251121042,1,3.3419544631856195
NorthLower,1,2062,2024,91.89158511750145,4.5206094595272655,1,3.901570251121042
NorthLower,1,2062,2025,131.94689145077132,4.882399504132769,1,4.5206094595272655
NorthLower,1,2063,2023,3076.2475263951255,8.031465797607462,1,8.06685640213051
NorthLower,1,2063,2024,3304.5627724947635,8.10305945079447,1,8.031465797607462
NorthLower,1,2063,2025,3096.039560112741,8.037879012442176,1,8.10305945079447
NorthLower,1,2064,2023,84.82300164692441,4.440566751853729,1,4.0069307667788685
NorthLower,1,2064,2024,102.10176124166829,4.625969975185092,1,4.440566751853729
NorthLower,1,2064,2025,62.83185307179586,4.140462159403391,1,4.625969975185092
NorthLower,1,2065,2023,14.137166941154069,2.648807282625674,1,2.5310242469692907
NorthLower,1,2065,2024,14.137166941154069,2.648807282625674,1,2.648807282625674
NorthLower,1,2065,2025,9.42477796076938,2.24334217451751,1,2.648807282625674
NorthLower,2,2067,2023,193.99334635916972,5.267823861357487,1,4.625969975185092
NorthLower,2,2067,2024,314.1592653589793,5.749900071837492,1,5.267823861357487
NorthLower,2,2067,2025,329.8672286269283,5.798690236006924,1,5.749900071837492
NorthLower,2,2068,2023,28.274333882308138,3.3419544631856195,1,2.97731134959771
NorthLower,2,2068,2024,61.26105674500097,4.115144351419102,1,3.3419544631856195
NorthLower,2,2068,2025,109.95574287564276,4.700077947338814,1,4.115144351419102
NorthLower,2,2069,2023,628.3185307179587,6.443047252397437,1,5.88966201421265
NorthLower,2,2069,2024,706.072948894306,6.55971855920113,1,6.443047252397437
NorthLower,2,2069,2025,753.9822368615503,6.625368809191391,1,6.55971855920113
NorthLower,2,2070,2023,381.7035074111599,5.944644148630004,1,6.315213880887552
NorthLower,2,2070,2024,578.2493978013713,6.360005259695306,1,5.944644148630004
NorthLower,2,2070,2025,530.1437602932775,6.273148215602039,1,6.360005259695306
NorthLower,2,2071,2023,544.2809272344317,6.299465523919413,1,6.763317514442369
NorthLower,2,2071,2024,0,NA,0,6.299465523919413
NorthLower,2,2072,2023,153.1526418625024,5.031435083293256,1,4.795388127143139
NorthLower,2,2072,2024,188.02432031734912,5.236571317853382,1,5.031435083293256
NorthLower,2,2072,2025,226.98006922186255,5.4248622128419415,1,5.236571317853382
NorthLower,2,2073,2023,335.75771485240915,5.8163898131063245,1,5.8452102516418165
NorthLower,2,2073,2024,395.84067435231395,5.981011792800878,1,5.8163898131063245
NorthLower,2,2073,2025,409.97784129346803,6.016103112612148,1,5.981011792800878
NorthLower,2,2074,2023,395.84067435231395,5.981011792800878,1,5.744384891149381
NorthLower,2,2074,2024,503.99000145214256,6.222556429485979,1,5.981011792800878
NorthLower,2,2074,2025,523.8605749860981,6.261225570645133,1,6.222556429485979
NorthLower,2,2075,2023,0,NA,0,5.267823861357487
NorthLower,2,2076,2023,32.98672286269283,3.496105143012878,1,2.5310242469692907
NorthLower,2,2076,2024,32.98672286269283,3.496105143012878,1,3.496105143012878
NorthLower,2,2076,2025,43.982297150257104,3.783787215464659,1,3.496105143012878
NorthLower,2,2077,2023,412.33403578366034,6.021833787321134,1,6.378508731259866
NorthLower,2,2077,2024,668.5309166839079,6.505082643316889,1,6.021833787321134
NorthLower,2,2077,2025,809.5491569219197,6.696477496316518,1,6.505082643316889
NorthLower,2,2078,2024,131.94689145077132,4.882399504132769,1,4.152884679401948
NorthLower,2,2078,2025,122.52211349000194,4.808291531979046,1,4.882399504132769
NorthLower,2,2079,2023,577.5032695461438,6.358714103931686,1,6.391753958009886
NorthLower,2,2079,2024,626.7477343911637,6.440544122179318,1,6.358714103931686
NorthLower,2,2079,2025,596.9026041820607,6.391753958009886,1,6.440544122179318
NorthLower,2,2080,2023,988.0308895539899,6.8957139619898955,1,6.540627580736301
