plot,tr,id,year,area,log_size,surv,size_t0
N-east,2,1065,2023,56.053093477052,4.026299339378802,1,3.9495403614509024
N-east,2,1065,2024,60.64446484502,4.105028367334408,1,4.026299339378802
N-east,2,1065,2025,62.76548245743669,4.139405279967892,1,4.105028367334408
N-east,2,1066,2024,54.8322971502571,4.004279384402969,1,4.111946771311349
N-east,2,1066,2025,51.982739721500664,3.9509117350483125,1,4.004279384402969
N-east,2,1067,2024,43.19911184307752,3.7658199358507014,1,3.677755794714536
N-east,2,1067,2025,43.19911184307752,3.7658199358507014,1,3.7658199358507014
N-east,2,1068,2023,46.269908169872416,3.8344918182588974,1,3.876808347244083
N-east,2,1068,2024,49.383182292744245,3.8996099268130897,1,3.8344918182588974
N-east,2,1068,2025,41.98583772020569,3.7373323642816705,1,3.8996099268130897
N-east,2,1069,2023,45.35574890451343,3.8145369359912933,1,4.1416586392730945
N-east,2,1069,2024,52.03893421169303,3.9519921732595833,1,3.8145369359912933
N-east,2,1069,2025,51.582297150257105,3.943178535139241,1,3.9519921732595833
N-east,2,1070,2023,26.991148575128552,3.2955089817053524,1,3.2955089817053524
N-east,2,1070,2024,30.33318379996192,3.4122422881650043,1,3.2955089817053524
N-east,2,1070,2025,25.491148575128552,3.238331277205287,1,3.4122422881650043
N-east,2,1070b,2025,70.61946409141117,4.257305801847986,1,4.279305139544564
N-east,2,1071,2023,59.76548245743669,4.090428277872224,1,4.052069561208786
N-east,2,1071,2024,65.47787143782138,4.181712244916251,1,4.090428277872224
N-east,2,1071,2025,55.65619072214817,4.019193315418476,1,4.181712244916251
N-east,2,1073,2023,42.55751918948772,3.750856553613794,1,3.7525187159519104
N-east,2,1073,2024,47.34866927183395,3.8575387151576237,1,3.750856553613794
N-east,2,1073,2025,47.769908169872416,3.866395905061158,1,3.8575387151576237
N-east,2,1074,2023,13.995574287564276,2.6387411573212285,1,2.5196927014624024
N-east,2,1074,2024,23.84955592153876,3.171765597519022,1,2.6387411573212285
N-east,2,1074,2025,19.707963267948966,2.98102278086574,1,3.171765597519022
N-east,2,1075,2023,64.33627878423158,4.1641236833995645,1,3.959126048608268
N-east,2,1075,2024,67.49623437638546,4.212071809305819,1,4.1641236833995645
N-east,2,1075,2025,69.97787143782138,4.248179069755329,1,4.212071809305819
N-east,2,1076,2023,48.769908169872416,3.8871134867977446,1,3.77570637800795
N-east,2,1076,2024,53.79269531365455,3.985137683110366,1,3.8871134867977446
N-east,2,1076,2025,53.482297150257104,3.9793507047566155,1,3.985137683110366
N-east,2,1077,2023,31.632741228718345,3.454192699029232,1,3.454192699029232
N-east,2,1077,2024,33.70353755551324,3.5176028038228306,1,3.454192699029232
N-east,2,1077,2025,35.77433388230814,3.577230705627186,1,3.5176028038228306
N-east,2,1078,2023,0,NA,0,3.646627536936785
N-east,2,1079,2023,42.05751918948772,3.7390381858789867,1,3.661403589350528
N-east,2,1079,2024,44.906412761378796,3.804580607743239,1,3.7390381858789867
N-east,2,1079,2025,47.269908169872416,3.8558739021307895,1,3.804580607743239
N-east,2,1080,2023,36.91592653589793,3.6086430713671627,1,3.4356129889687033
N-east,2,1080,2024,35.53805057642355,3.5706039696864704,1,3.6086430713671627
N-east,2,1080,2025,35.34513020910303,3.5651606235630275,1,3.5706039696864704
N-east,2,1081,2023,42.05751918948772,3.7390381858789867,1,3.6016608244355033
N-east,2,1081,2024,42.99291735288517,3.7610353894033315,1,3.7390381858789867
N-east,2,1081,2025,46.769908169872416,3.845240008295038,1,3.7610353894033315
N-east,2,1082,2023,62.33627878423159,4.132543580293045,1,4.220223151604093
N-east,2,1082,2024,78.00928646002667,4.356827876782678,1,4.132543580293045
N-east,2,1082,2025,85.25663103256524,4.445665896511856,1,4.356827876782678
N-east,2,1083,2023,22.27875959474386,3.103633740023793,1,3.0060767479079957
N-east,2,1083,2024,26.420352248333657,3.2741346316447273,1,3.103633740023793
N-east,2,1083,2025,28.491148575128552,3.349593462724515,1,3.2741346316447273
N-east,2,1084,2023,11.92477796076938,2.4786184169590766,1,2.3373711446684475
N-east,2,1084,2024,25.420352248333657,3.235550122798802,1,2.4786184169590766
N-east,2,1084,2025,25.920352248333657,3.2550284612194202,1,3.235550122798802
N-east,2,1085,2023,53.482297150257104,3.9793507047566155,1,3.876808347244083
N-east,2,1085,2024,57.79446484502001,4.056893007165685,1,3.9793507047566155
N-east,2,1085,2025,60.40707511102649,4.101106235680472,1,4.056893007165685
N-east,2,1086,2024,18.707963267948966,2.928949276420883,1,2.7496505768390507
N-east,2,1086,2025,20.27875959474386,3.0095740128851256,1,2.928949276420883
N-east,2,1087,2023,34.70353755551324,3.5468416286013493,1,3.0809351643101865
N-east,2,1087,2024,48.69911184307752,3.8856607926137725,1,3.5468416286013493
N-east,2,1087,2025,51.340704496667314,3.9384838975277967,1,3.8856607926137725
N-east,2,1088,2023,30.561944901923447,3.4197556043518955,1,3.3864878889739045
N-east,2,1088,2024,34.27433388230814,3.534396790753563,1,3.4197556043518955
N-east,2,1088,2025,33.20353755551324,3.502656423122993,1,3.534396790753563
N-east,2,1089,2023,32.70353755551324,3.487483254177731,1,3.6202025204572035
N-east,2,1089,2024,0,NA,0,3.487483254177731
N-east,2,1090,2023,52.911500823462205,3.9686207221055456,1,3.854375075530519
N-east,2,1090,2024,64.04866776461628,4.159643228198495,1,3.9686207221055456
N-east,2,1090,2025,57.13008429403924,4.045330848212952,1,4.159643228198495
N-east,2,1091,2023,63.76548245743669,4.155212016629753,1,4.016063999604916
N-east,2,1091,2024,63.019464845019996,4.143443644465399,1,4.155212016629753
N-east,2,1091,2025,65.33627878423158,4.179547452978296,1,4.143443644465399
N-east,2,1092,2023,73.19026041820607,4.293062357718653,1,4.124490227569354
N-east,2,1092,2024,55.7599518241097,4.02105590246534,1,4.293062357718653
N-east,2,1092,2025,48.61238596594936,3.883878353702809,1,4.02105590246534
N-east,2,1093,2023,54.482297150257104,3.997875825971741,1,3.9074105477787953
N-east,2,1093,2024,0,NA,0,3.997875825971741
